Name,Category,Address,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Phone,Email,Website,Latitude,Longitude
Adrian Barzaga & Michi Meko Mural,Mural,"430 Trinity Ave SW Atlanta, GA 30303",24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,,,http://livingwallsatl.com/walls/,33.7505817,-84.39708600000002
Shear Miracles,Barber Shop & Salon,"249 Trinity Ave SW Atlanta, GA 30303",Closed,9:30 AM - 6:30 PM,9:30 AM - 6:30 PM,9:30 AM - 6:30 PM,8:00 AM - 6:30 PM,6:00 AM - 3:00 PM,Closed,(404) 223-3326,SHEARMIRACLES@GMAIL.COM,http://shearmiraclesatl.com/,33.7507309,-84.3960343
Original Jamaican Restaurant,Food,"166 Trinity Ave SW Atlanta, GA 30303",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,Closed,Closed,(404) 525-8921,,http://www.pattiestop.com/,33.7493613,-84.3935453
Clover Cleaners,Business,"172 Trinity Ave SW Atlanta, GA 30303",,,,,,,,(404) 223-6088,,,33.7494789,-84.3935944
Suede Tapas Lounge,Nightlife,"257 Trinity Ave SW Atlanta, GA 30303",2:00 PM - 3:00 AM,2:00 PM - 3:00 AM,2:00 PM - 3:00 AM,2:00 PM - 3:00 AM,2:00 PM - 3:00 AM,2:00 PM - 3:00 AM,2:00 PM - 3:00 AM,(404) 589-1414,,https://twitter.com/suedeloungeatl,33.750815,-84.396309
CCLV The Trinity Lounge,Nightlife,"255 Trinity Ave SW Ste. B Atlanta, GA 30303",9:00 PM - 3:00 AM,9:00 PM - 3:00 AM,9:00 PM - 3:00 AM,9:00 PM - 3:00 AM,9:00 PM - 3:00 AM,9:00 PM - 3:00 AM,6:00 PM - 12:00 AM,(678) 457-7003,,https://www.facebook.com/cclvtrinitylounge,33.750815,-84.396233
Coze,Event Space,"255 Trinity Ave SW Ste. A Atlanta, GA 30303",Appointment Only,Appointment Only,Appointment Only,Appointment Only,Appointment Only,Appointment Only,Appointment Only,(404) 908-8169,,http://www.cozeatlanta.com/,33.750815,-84.396233
Iron Palm Tattoo,Tattoo Studio,"249 Trinity Ave SW Ste. B Atlanta, GA 30303",1:00 PM - 10:00 PM,1:00 PM - 10:00 PM,1:00 PM - 10:00 PM,1:00 PM - 10:00 PM,1:00 PM - 10:00 PM,1:00 PM - 10:00 PM,1:00 PM - 7:00 PM,(404) 973-7828,,https://www.facebook.com/IronPalmTattoos,33.7507309,-84.3960343
Friendly Homes Realty,Office,"249 Trinity Ave SW Ste. A Atlanta, GA 30303",,,,,,,,(404) 688-9294,cnfriend07@yahoo.com,http://www.friendlyatlantahomes.com/,33.7507309,-84.3960343
Mac Stewart & Jonathan Welsh Mural,Mural,"156 Forsyth St SW Ste. B Atlanta, GA 30303",24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,,,http://livingwallsatl.com/walls/,33.750176,-84.395152
Superior Home Inspections,Office,"165 Trinity Ave SW Atlanta, GA 30303",8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,(678) 410-3005,rt@choosesuperiorinspection.com,http://www.choosesuperiorinspection.com/index.html,33.7496933,-84.39358469999999
Atlanta Recovery Center,Homeless Services,"169 Trinity Ave SW Atlanta, GA 30303",24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,(404) 577-3352,,http://atlantarecovery169.wix.com/atlrecoverycenter,33.749815,-84.393303
City Plaza Apartments,Residential,"133 Trinity Ave SW Atlanta, GA 30303",24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,(678) 608-4352,,http://www.cityplazajmg.com/,33.7489411,-84.3918415
