route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
7634,1,Centennial Oly. Park/Coronet Way,,3,,FFFF00,
7635,2,Ponce de Leon  Ave/Moreland Ave,,3,,00FF00,
7636,3,Martin Luther King Jr. Dr/Auburn Av,,3,,008080,
7637,4,Thomasville/Moreland Avenue,,3,,00FF00,
7638,5,Piedmont Road/Sandy Springs,,3,,008000,
7639,6,Emory,,3,,00FFFF,
7640,8,North Druid Hills Rd.,,3,,008000,
7641,9,Toney Valley /Peachcrest Rd.,,3,,008080,
7642,12,Howell Mill Rd/Cumberland,,3,,00FFFF,
7643,13,Fair Street/Mozley Park,,3,,FFFF00,
7644,15,Candler Rd/South DeKalb,,3,,00FF00,
7645,16,Noble,,3,,00FFFF,
7646,19,Clairmont Road,,3,,808000,
7647,21,Memorial Drive,,3,,00FF00,
7648,24,East Lake/Hosea Williams,,3,,00FFFF,
7649,25,Peachtree Industrial Blvd,,3,,FF00FF,
7650,26,Perry Boulevard/North Avenue,,3,,FFFF00,
7651,27,Cheshire Bridge Rd/Ansley Mall,,3,,808000,
7652,30,LaVista Rd,,3,,00FF00,
7653,32,Bouldercrest/Georgia Aquarium,,3,,00FFFF,
7654,33,Briarcliff Road/Lenox,,3,,FFFF00,
7655,34,Gresham/Clifton Springs,,3,,FF00FF,
7656,36,North Decatur Rd/Virginia Highland,,3,,F0CAA6,
7657,37,Defoors Ferry  Rd./Atlantic Station,,3,,80FF00,
7658,39,Buford Highway,,3,,00FF00,
7659,42,Pryor Road/McDaniel Street,,3,,008000,
7660,47,I-85 Access Rd./Briarwood Rd.,,3,,8080FF,
7661,49,McDonough Boulevard,,3,,008080,
7662,50,Donald E Hollowell Pkwy.,,3,,0080FF,
7663,51,Joseph E Boone Blvd/Dixie Hills,,3,,00FF00,
7664,53,Skipper Drive/West Lake Avenue,,3,,00FFFF,
7665,55,Jonesboro Rd/Hutchens Rd/Forest Parkway,,3,,0080FF,
