stop_id,stop_code,stop_name,stop_lat,stop_lon
100004,100004,JOSEPH E LOWERY BLVD@BECKWITH ST SW,33.752636,-84.417759
100006,100006,JOSEPH E LOWERY BLVD@PARSONS ST SW,33.751251,-84.417762
100008,100008,JOSEPH E LOWERY BLVD@ASHBY GRV SW,33.750144,-84.417732
100010,100010,JOSEPH E LOWERY BLVD @ FAIR ST SW,33.749364,-84.417742
100012,100012,JOSEPH E LOWERY BLVD@WESTVIEW DR SW,33.746685,-84.417803
100014,100014,JOSEPH E LOWERY BLVD@SELLS AVE SW,33.745587,-84.417784
100016,100016,W END AVE SW @ ASHBY ST SW,33.744255,-84.416588
100017,100017,W END AVE SW @ WELLBORN ST SW,33.744304,-84.415499
100022,100022,W END AVE SW @ ASHBY ST SW,33.744724,-84.417207
100024,100024,JOSEPH E LOWERY BLVD @ FAIR ST SW,33.749024,-84.417337
100026,100026,JOSEPH E LOWERY BLVD@PARSONS ST SW,33.75063,-84.417277
100028,100028,JOSEPH E LOWERY BLVD@BECKWITH ST SW,33.752027,-84.417322
100030,100030,FAIR ST SW@EUHRLEE ST SW,33.749264,-84.416015
100032,100032,FAIR ST SW@OGDEN ST SW,33.749236,-84.416809
100035,100035,FAIR ST SW @ JOSEPH E LOWERY BLVD,33.748924,-84.417769
100036,100036,FAIR ST SW@ABBOTT ST SW,33.748959,-84.419167
100038,100038,FAIR ST SW@AGNES JONES PL SW,33.748981,-84.420273
100040,100040,FAIR ST SW@JOSE ST SW,33.74892,-84.421694
100042,100042,FAIR ST SW@LAWTON ST SW,33.749088,-84.423135
100043,100043,FAIR ST SW@SAINT JOSE ST SW,33.749272,-84.421726
100044,100044,FAIR ST SW@EUHRLEE ST SW,33.749192,-84.416048
100045,100045,FAIR ST SW@AGNES JONES PL SW,33.749162,-84.420461
100046,100046,JOSEPH E LOWERY BLVD@MITCHELL ST SW,33.753431,-84.417326
100048,100048,JOSEPH E LOWERY BLVD @ MARTIN L KING JR DR,33.754524,-84.417346
100050,100050,MARTIN LUTHER KING J@CHICAMAUGA AVE,33.75369,-84.432088
100052,100052,MARTIN LUTHER KING J DR SW@CERRO ST,33.753549,-84.429794
100054,100054,MARTIN LUTHER KING J DR SW@BURBANK,33.753443,-84.428174
100058,100058,HOLDERNESS ST SW@FAIR ST SW,33.748933,-84.426351
100060,100060,FAIR ST SW@HOLDERNESS ST SW,33.749076,-84.426353
100061,100061,HOLDERNESS ST SW@WESTVIEW DR SW,33.747532,-84.426611
100062,100062,HOLDERNESS ST SW@WESTVIEW DR SW,33.747425,-84.426987
100063,100063,WESTVIEW DR SW@LANGHORN ST SW,33.747154,-84.427994
100064,100064,WESTVIEW DR SW@LANGHORN ST SW,33.74733,-84.427883
100065,100065,WESTVIEW DR SW@ATWOOD ST SW,33.747347,-84.428775
100066,100066,WESTVIEW DR SW@ATWOOD ST SW,33.747192,-84.429146
100067,100067,WESTVIEW DR SW@HOPKINS ST SW,33.747363,-84.430916
100068,100068,WESTVIEW DR SW@HOPKINS ST SW,33.747242,-84.431259
100069,100069,WESTVIEW DR SW@CHICAMAUGA AVE SW,33.747379,-84.432101
100070,100070,WESTVIEW DR SW@CHICAMAUGA AVE SW,33.74728,-84.432335
100071,100071,WESTVIEW DR SW@1403,33.747405,-84.433188
100072,100072,WESTVIEW DR@1403,33.747334,-84.433228
100074,100074,LUCILE AVE SW @ JOSEPH E LOWERY BLVD,33.742268,-84.418137
100076,100076,LUCILE AVE SW @ PEEPLES ST SW,33.742294,-84.420334
100078,100078,LUCILE AVE SW @ LAWTON ST SW,33.742287,-84.422523
100080,100080,LUCILE AVE SW @ LAWTON ST SW,33.742287,-84.423462
100082,100082,LUCILE AVE SW @ DARGAN PL SW,33.742378,-84.425133
100084,100084,LUCILE AVE SW @ HOPKINS ST SW,33.74237,-84.43048
100086,100086,LUCILE AVE SW @ LANGHORN ST SW,33.742336,-84.432297
100088,100088,LUCILE AVE SW @ HOPKINS ST SW,33.742174,-84.430404
100090,100090,LUCILE AVE SW @ ATWOOD ST SW,33.742107,-84.429085
100092,100092,LUCILE AVE SW @ HOLDERNESS ST SW,33.742058,-84.427368
100094,100094,LUCILE AVE SW @ DARGAN PL SW,33.742073,-84.424644
100096,100096,LUCILE AVE SW @ LAWTON ST SW,33.742065,-84.423462
100098,100098,LUCILE AVE SW @ LAWTON ST SW,33.742169,-84.422714
